service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
62101_merged_15727722,20260608,20260906,0,0,0,0,0,0,0
162503_merged_15727731,20260608,20260906,0,0,0,0,0,0,0
152301_merged_15727764,20260907,20270103,0,0,0,0,0,0,0
2001_merged_15727737,20260608,20260906,0,0,0,0,0,0,0
1101_merged_15727765,20260907,20270103,0,0,0,0,0,0,0
1_merged_15727724,20260608,20260906,1,1,1,1,1,0,0
2_merged_15727726,20260608,20260906,0,0,0,0,0,1,0
801_merged_15727740,20260608,20260906,0,0,0,0,0,0,0
1803_merged_15727734,20260608,20260906,0,0,0,0,0,0,0
152201_merged_15727730,20260608,20260906,0,0,0,0,0,0,0
259802_merged_15727762,20260907,20270103,0,0,0,0,0,0,0
32603_merged_15727742,20260907,20270103,0,0,0,0,0,0,0
201_merged_15727755,20260907,20270103,0,0,0,0,0,0,0
-999_merged_15727727,20260608,20260906,1,1,1,1,1,1,1
152201_merged_15727756,20260907,20270103,0,0,0,0,0,0,0
32603_merged_15727716,20260608,20260906,0,0,0,0,0,0,0
701_merged_15727718,20260608,20260906,0,0,0,0,0,0,0
162601_merged_15727719,20260608,20260906,0,0,0,0,0,0,0
259803_merged_15727732,20260608,20260906,0,0,0,0,0,0,0
259801_merged_15727733,20260608,20260906,0,0,0,0,0,0,0
1201_merged_15727717,20260608,20260906,0,0,0,0,0,0,0
1803_merged_15727760,20260907,20270103,0,0,0,0,0,0,0
1_merged_15727750,20260907,20270103,1,1,1,1,1,0,0
253402,20260907,20270103,0,0,0,0,0,0,0
162502,20260907,20270103,0,0,0,0,0,0,0
801_merged_15727766,20260907,20270103,0,0,0,0,0,0,0
162503_merged_15727757,20260907,20270103,0,0,0,0,0,0,0
401,20260608,20260906,0,0,0,0,0,0,0
259803_merged_15727758,20260907,20270103,0,0,0,0,0,0,0
1901_merged_15727728,20260608,20260906,0,0,0,0,0,0,0
101_merged_15727747,20260907,20270103,0,0,0,0,0,0,0
169801_merged_15727735,20260608,20260906,0,0,0,0,0,0,0
201_merged_15727729,20260608,20260906,0,0,0,0,0,0,0
169801_merged_15727761,20260907,20270103,0,0,0,0,0,0,0
49601,20260608,20260906,0,0,0,0,0,0,0
49602,20260608,20260906,0,0,0,0,0,0,0
49603,20260608,20260906,0,0,0,0,0,0,0
291103,20260608,20260906,0,0,0,0,0,0,0
291102,20260608,20260906,0,0,0,0,0,0,0
291101,20260608,20260906,0,0,0,0,0,0,0
253403_merged_15727749,20260907,20270103,0,0,0,0,0,0,0
292502,20260608,20260906,0,0,0,0,0,0,0
253403_merged_15727723,20260608,20260906,0,0,0,0,0,0,0
92402,20260608,20260906,0,0,0,0,0,0,0
92403,20260608,20260906,0,0,0,0,0,0,0
118403,20260907,20270103,0,0,0,0,0,0,0
155601_merged_15727741,20260608,20260906,0,0,0,0,0,0,0
-999_merged_15727753,20260907,20270103,1,1,1,1,1,1,1
155601_merged_15727767,20260907,20270103,0,0,0,0,0,0,0
118401,20260608,20260906,0,0,0,0,0,0,0
292501,20260608,20260906,0,0,0,0,0,0,0
291701,20260608,20260906,0,0,0,0,0,0,0
62201_merged_15727720,20260608,20260906,0,0,0,0,0,0,0
291703,20260608,20260906,0,0,0,0,0,0,0
291702,20260608,20260906,0,0,0,0,0,0,0
162601_merged_15727745,20260907,20270103,0,0,0,0,0,0,0
2_merged_15727752,20260907,20270103,0,0,0,0,0,1,0
3_merged_15727751,20260907,20270103,0,0,0,0,0,0,1
1201_merged_15727743,20260907,20270103,0,0,0,0,0,0,0
62101_merged_15727748,20260907,20270103,0,0,0,0,0,0,0
152301_merged_15727738,20260608,20260906,0,0,0,0,0,0,0
701_merged_15727744,20260907,20270103,0,0,0,0,0,0,0
259802_merged_15727736,20260608,20260906,0,0,0,0,0,0,0
101_merged_15727721,20260608,20260906,0,0,0,0,0,0,0
1101_merged_15727739,20260608,20260906,0,0,0,0,0,0,0
62201_merged_15727746,20260907,20270103,0,0,0,0,0,0,0
259801_merged_15727759,20260907,20270103,0,0,0,0,0,0,0
292302,20260608,20260906,0,0,0,0,0,0,0
292303,20260608,20260906,0,0,0,0,0,0,0
3_merged_15727725,20260608,20260906,0,0,0,0,0,0,1
1901_merged_15727754,20260907,20270103,0,0,0,0,0,0,0
2001_merged_15727763,20260907,20270103,0,0,0,0,0,0,0
